market,n,crps_model,crps_b1_season_to_date_avg,crps_b2_trailing10_avg,crps_b3_trailing10_per40_x_proj_minutes,crps_b4_devigged_market,beat_b1,beat_b2,beat_b3,beat_b4,plain_beat_b3,plain_beat_b4
pts,9387,3.2285726277032065,3.164344325929477,3.158932422499201,3.2799388456109515,,False,False,True,,BEAT,N/A
reb,9387,1.3176359060402683,1.2608419156812614,1.2477549716363054,1.3359384001811014,,False,False,True,,BEAT,N/A
ast,9387,0.8981304317140726,0.8498194331255992,0.8493993008948546,0.9129060189623946,,False,False,True,,BEAT,N/A
fg3m,9387,0.4986445849312879,0.5050142091456269,0.5012415707893896,0.503914454165335,,True,True,True,,BEAT,N/A
